Statistic,NVDA,SPY
Mean,0.0025862865123776487,0.00043320244216611475
SD/Volatility,0.03529757073371773,0.011793483183189356
Min.,-0.16968166129583684,-0.058542957104373516
Max.,0.2436963738946012,0.10501936290804648
Median,0.003489214279883024,0.0005253283389072827
Skewness,0.5328647274867161,0.3904771007938871
Kurtosis,4.44588978218786,8.71821239921587
Correlation,0.7213658695057857,0.7213658695057857
